teamId,teamName,conference,powerRating,hca,adjO,adjD,tempo,barthag,torvikRank,torvikOeRank,torvikDeRank,wins,losses
team-michigan-state,Michigan State,Big Ten,1.000,2.3,26.900,25.500,85.000,,71,60,66,1,0
team-middle-tennessee,Middle Tennessee,Conference USA,-20.800,2.3,17.000,38.000,50.000,,127,122,131,1,0
team-minnesota,Minnesota,Big Ten,9.600,2.3,27.900,17.800,73.000,,34,53,20,1,0
team-mississippi-state,Mississippi State,SEC,9.400,2.3,33.500,24.700,79.000,,35,20,62,1,0
team-missouri,Missouri,SEC,12.900,2.3,31.200,17.900,76.500,,22,36,21,2,0
team-missouri-state,Missouri State,Conference USA,-24.300,2.3,13.600,37.400,41.000,,132,129,128,0,1
team-navy,Navy,American Athletic,3.600,2.3,29.400,26.000,79.000,,55,48,72,1,0
team-nc-state,NC State,ACC,-0.700,2.3,27.400,27.800,61.000,,73,56,81,1,1
team-nebraska,Nebraska,Big Ten,12.100,2.3,32.400,20.400,74.000,,27,28,31,1,0
team-nevada,Nevada,Mountain West,-6.100,2.3,21.400,27.900,59.000,,87,101,82,1,0
team-new-mexico,New Mexico,Mountain West,4.400,2.3,27.400,23.600,71.000,,53,56,54,1,0
team-new-mexico-state,New Mexico State,Conference USA,-15.000,2.3,17.900,32.900,66.500,,119,118,113,1,1
team-north-carolina,North Carolina,ACC,5.800,2.3,24.500,19.100,58.000,,49,83,24,1,0
team-north-dakota-state,North Dakota State,Mountain West,2.600,2.3,25.900,23.200,69.000,,61,71,49,2,0
team-northern-illinois,Northern Illinois,Mountain West,-22.300,2.3,12.300,34.400,58.000,,130,136,119,0,1
team-north-texas,North Texas,American Athletic,-13.200,2.3,23.500,36.500,69.000,,115,90,123,0,1
team-northwestern,Northwestern,Big Ten,7.800,2.3,27.200,19.800,55.000,,40,58,26,1,0
team-notre-dame,Notre Dame,FBS Independents,26.800,2.3,40.600,14.000,63.000,,3,1,7,1,0
team-ohio,Ohio,Mid-American,-16.400,2.3,13.200,29.000,68.000,,124,130,91,0,1
team-ohio-state,Ohio State,Big Ten,30.000,2.3,40.000,10.100,73.000,,1,3,1,1,0
team-oklahoma,Oklahoma,SEC,21.700,2.3,34.000,12.600,60.000,,10,16,5,1,0
team-oklahoma-state,Oklahoma State,Big 12,1.100,2.3,26.100,25.400,88.000,,69,68,65,0,1
team-old-dominion,Old Dominion,Sun Belt,-6.200,2.3,20.100,25.600,57.000,,88,109,67,1,0
team-ole-miss,Ole Miss,SEC,13.300,2.3,35.100,22.500,79.000,,20,12,44,1,0
team-oregon,Oregon,Big Ten,23.900,2.3,38.900,15.200,64.000,,7,6,12,1,0
team-oregon-state,Oregon State,Pac-12,-6.800,2.3,21.100,27.300,74.000,,90,103,77,0,1
team-penn-state,Penn State,Big Ten,19.800,2.3,35.300,16.200,74.000,,13,11,14,1,0
team-pittsburgh,Pittsburgh,ACC,10.100,2.3,33.000,23.000,77.000,,32,22,47,1,0
team-purdue,Purdue,Big Ten,1.200,2.3,26.200,25.600,74.000,,68,67,67,1,0
team-rice,Rice,American Athletic,-10.400,2.3,18.800,29.700,82.000,,105,115,96,1,0
team-rutgers,Rutgers,Big Ten,-3.600,2.3,27.800,31.400,65.500,,78,54,105,0,2
team-sacramento-state,Sacramento State,Mid-American,-19.100,2.3,16.600,35.700,68.000,,125,123,122,1,1
team-sam-houston,Sam Houston,Conference USA,-21.500,2.3,16.300,37.300,70.000,,129,124,127,0,1
team-san-diego-state,San Diego State,Pac-12,3.100,2.3,25.800,23.300,64.000,,57,72,51,1,0
team-san-jose-state,San José State,Mountain West,-12.800,2.3,19.900,32.200,67.500,,112,110,107,1,1
team-smu,SMU,ACC,11.100,2.3,32.200,20.800,67.000,,31,29,36,1,0
team-south-alabama,South Alabama,Sun Belt,-11.400,2.3,23.500,34.200,88.000,,106,90,118,1,0
team-south-carolina,South Carolina,SEC,16.700,2.3,32.600,16.400,74.000,,19,25,16,1,0
team-southern-miss,Southern Miss,Sun Belt,-14.900,2.3,20.600,35.100,85.000,,118,105,120,1,0
team-south-florida,South Florida,American Athletic,-3.100,2.3,26.000,28.900,58.000,,76,69,90,1,0
team-stanford,Stanford,ACC,-4.700,2.3,22.000,26.100,69.500,,83,96,73,1,1
team-syracuse,Syracuse,ACC,2.700,2.3,25.700,23.400,78.000,,60,73,52,1,0
team-tcu,TCU,Big 12,3.900,2.3,27.500,23.400,72.000,,54,55,52,0,1
team-temple,Temple,American Athletic,-4.900,2.3,26.900,32.200,63.000,,84,60,107,1,0
team-tennessee,Tennessee,SEC,19.900,2.3,40.300,20.800,74.000,,12,2,36,1,0
team-texas,Texas,SEC,25.400,2.3,39.200,14.200,70.000,,4,5,8,1,0
team-texas-aandm,Texas A&M,SEC,23.900,2.3,38.800,14.600,89.000,,7,7,10,1,0
team-texas-state,Texas State,Pac-12,-7.800,2.3,30.300,38.200,73.000,,101,42,132,0,1
team-texas-tech,Texas Tech,Big 12,18.900,2.3,34.900,16.200,74.000,,14,13,14,1,0
team-toledo,Toledo,Mid-American,-9.400,2.3,17.900,26.900,42.000,,103,118,75,0,1
team-troy,Troy,Sun Belt,-11.400,2.3,20.600,32.200,69.000,,106,105,107,1,0
team-tulane,Tulane,American Athletic,-7.400,2.3,19.500,27.500,55.000,,95,111,78,0,1
team-tulsa,Tulsa,American Athletic,-2.300,2.3,25.200,28.000,58.000,,75,78,83,1,0
team-uab,UAB,American Athletic,-16.000,2.3,21.800,37.400,79.000,,123,100,128,0,1
team-ucf,UCF,Big 12,5.900,2.3,26.500,20.500,62.000,,47,65,32,1,0
team-ucla,UCLA,Big Ten,9.200,2.3,31.900,22.700,53.000,,36,31,46,1,0
team-uconn,UConn,FBS Independents,-6.300,2.3,22.700,29.600,74.000,,89,93,95,1,0
team-ul-monroe,UL Monroe,Sun Belt,-33.200,2.3,10.500,42.900,71.000,,138,138,138,0,1
team-unlv,UNLV,Mountain West,2.300,2.3,29.800,27.600,72.500,,62,44,79,1,1
team-usc,USC,Big Ten,17.700,2.3,37.900,19.900,73.000,,17,8,27,2,0
team-utah,Utah,Big 12,13.000,2.3,33.700,20.700,77.000,,21,19,35,1,0
team-utah-state,Utah State,Pac-12,-11.500,2.3,20.900,32.000,89.000,,108,104,106,0,1
team-utep,UTEP,Mountain West,-24.300,2.3,12.900,36.800,59.000,,132,132,125,0,1
