teamId,teamName,conference,powerRating,hca,hca_note,adjO,adjD,tempo,barthag,torvikRank,torvikOeRank,torvikDeRank,wins,losses
team-radford,Radford,BSth,-4.58,1.0877192982456143,from True HF Edge chart (2022-25),106.82667824728742,113.33550630459885,70.36999414201618,0.3362244060263954,242,219,260,16,15
team-purdue-fort-wayne,Purdue Fort Wayne,Horz,-5.272,2.0,default HCA=2.0 (no True HF Edge in chart),105.82009699013838,113.6062627790188,67.71093288894336,0.3065115642879514,260,241,266,17,14
team-fairfield,Fairfield,MAAC,-5.279,1.5789473684210529,from True HF Edge chart (2022-25),106.86597434942396,114.75214339180962,66.93769502047788,0.3060207553476505,261,217,286,19,12
team-lindenwood,Lindenwood,OVC,-6.29,1.4035087719298247,from True HF Edge chart (2022-25),101.33612522878236,110.05421013524469,72.15362034453571,0.27906663018398326,272,311,195,17,14
team-cal-poly,Cal Poly,BW,-3.786,2.0,default HCA=2.0 (no True HF Edge in chart),108.62999015972157,113.76773178940263,73.68027658197866,0.3701831479696022,226,174,271,13,17
team-southern,Southern,SWAC,-5.142,2.771929824561404,from True HF Edge chart (2022-25),105.7484819350486,113.0975652223579,69.97063672581662,0.3159050531760798,253,243,257,13,16
team-siu-edwardsville,SIU Edwardsville,OVC,-4.257,2.0,default HCA=2.0 (no True HF Edge in chart),99.07706380110483,105.70764573393454,64.20907635332192,0.32192016921972805,251,337,105,19,12
team-southeast-missouri-st,Southeast Missouri St.,OVC,-4.632,2.0,default HCA=2.0 (no True HF Edge in chart),102.07350660082133,108.78453164066798,69.01562790636585,0.3246960504352868,247,303,169,19,12
team-abilene-christian,Abilene Christian,WAC,-3.958,1.5789473684210529,from True HF Edge chart (2022-25),101.30931451755177,107.25322836342534,66.58914900812078,0.3417141994958751,239,312,132,13,16
team-old-dominion,Old Dominion,SB,-4.113,1.4035087719298247,from True HF Edge chart (2022-25),106.0523054124988,112.02588285416125,68.84530290599118,0.3474716515254009,234,234,235,11,20
team-arkansas-pine-bluff,Arkansas Pine Bluff,SWAC,-8.314,2.0,default HCA=2.0 (no True HF Edge in chart),104.58974880773263,116.61605041917551,69.13024548853565,0.22241018237975196,305,256,308,12,17
team-charleston-southern,Charleston Southern,BSth,-5.366,2.0,default HCA=2.0 (no True HF Edge in chart),105.18085499559099,112.70881427945497,71.28119843563807,0.31110619618119867,255,251,249,15,16
team-louisiana-tech,Louisiana Tech,CUSA,-3.783,1.508771929824562,from True HF Edge chart (2022-25),100.62514603739416,106.54396124245797,63.92211017001817,0.3413490454631619,240,322,116,16,13
team-samford,Samford,SC,-4.103,2.6666666666666674,from True HF Edge chart (2022-25),107.90198004468405,114.0326226217362,66.92185468424235,0.34626323231926776,236,185,275,18,13
team-georgia-southern,Georgia Southern,SB,-5.652,2.0,default HCA=2.0 (no True HF Edge in chart),107.6404237938216,115.64421831014018,70.61649024086248,0.304744748257188,262,191,300,16,15
team-umbc,UMBC,AE,-2.693,2.0,default HCA=2.0 (no True HF Edge in chart),105.93246850253854,110.03484625425698,65.65307871476618,0.39246893309256625,214,237,193,20,8
team-grambling-st,Grambling St.,SWAC,-7.221,2.0,default HCA=2.0 (no True HF Edge in chart),97.33497196473424,108.04796971287888,67.40340568417867,0.2313338466111064,295,346,153,12,17
team-incarnate-word,Incarnate Word,Slnd,-6.535,1.1929824561403513,from True HF Edge chart (2022-25),107.75692982075816,117.75425352170971,65.37037488849393,0.264968798869293,278,188,324,12,18
team-northeastern,Northeastern,CAA,-7.855,1.1578947368421055,from True HF Edge chart (2022-25),106.56522058690575,117.87351902903079,69.4615342985476,0.23869776520853336,289,227,326,6,22
team-southeastern-louisiana,Southeastern Louisiana,Slnd,-7.351,2.0,default HCA=2.0 (no True HF Edge in chart),99.04572846160397,110.36353915205613,64.9476443400228,0.22369204831423395,304,338,201,8,22
